ds,y
2024-04-11 11:08:33.700374,0
2024-04-11 11:12:43.700374,2
2024-04-11 11:16:53.700374,2
2024-04-11 11:21:03.700374,8
2024-04-11 11:25:13.700374,15
2024-04-11 11:29:23.700374,202
2024-04-11 11:33:33.700374,192
2024-04-11 11:37:43.700374,205
2024-04-11 11:41:53.700374,196
2024-04-11 11:46:03.700374,207
2024-04-11 11:50:13.700374,204
2024-04-11 11:54:23.700374,207
2024-04-11 11:58:33.700374,197
2024-04-11 12:02:43.700374,204
2024-04-11 12:06:53.700374,196
2024-04-11 12:11:03.700374,203
2024-04-11 12:15:13.700374,195
2024-04-11 12:19:23.700374,202
2024-04-11 12:23:33.700374,198
2024-04-11 12:27:43.700374,198
2024-04-11 12:31:53.700374,199
2024-04-11 12:36:03.700374,223
2024-04-11 12:40:13.700374,198
2024-04-11 12:44:23.700374,204
2024-04-11 12:48:33.700374,202
2024-04-11 12:52:43.700374,195
2024-04-11 12:56:53.700374,204
2024-04-11 13:01:03.700374,194
2024-04-11 13:05:13.700374,203
2024-04-11 13:09:23.700374,194
2024-04-11 13:13:33.700374,204
2024-04-11 13:17:43.700374,210
2024-04-11 13:21:53.700374,205
2024-04-11 13:26:03.700374,196
2024-04-11 13:30:13.700374,201
2024-04-11 13:34:23.700374,196
2024-04-11 13:38:33.700374,201
2024-04-11 13:42:43.700374,197
2024-04-11 13:46:53.700374,202
2024-04-11 13:51:03.700374,196
2024-04-11 13:55:13.700374,211
2024-04-11 13:59:23.700374,202
2024-04-11 14:03:33.700374,208
2024-04-11 14:07:43.700374,207
2024-04-11 14:11:53.700374,194
2024-04-11 14:16:03.700374,209
2024-04-11 14:20:13.700374,193
2024-04-11 14:24:23.700374,194
2024-04-11 14:28:33.700374,205
2024-04-11 14:32:43.700374,203
2024-04-11 14:36:53.700374,194
2024-04-11 14:41:03.700374,203
2024-04-11 14:45:13.700374,213
2024-04-11 14:49:23.700374,202
2024-04-11 14:53:33.700374,196
2024-04-11 14:57:43.700374,194
2024-04-11 15:01:53.700374,194
2024-04-11 15:06:03.700374,198
2024-04-11 15:10:13.700374,191
2024-04-11 15:14:23.700374,192
2024-04-11 15:18:33.700374,190
2024-04-11 15:22:43.700374,178
2024-04-11 15:26:53.700374,168
2024-04-11 15:31:03.700374,193
2024-04-11 15:35:13.700374,179
2024-04-11 15:39:23.700374,187
2024-04-11 15:43:33.700374,189
2024-04-11 15:47:43.700374,197
2024-04-11 15:51:53.700374,169
2024-04-11 15:56:03.700374,185
2024-04-11 16:00:13.700374,202
2024-04-11 16:04:23.700374,186
2024-04-11 16:08:33.700374,203
2024-04-11 16:12:43.700374,209
2024-04-11 16:16:53.700374,198
2024-04-11 16:21:03.700374,215
2024-04-11 16:25:13.700374,202
2024-04-11 16:29:23.700374,186
2024-04-11 16:33:33.700374,203
2024-04-11 16:37:43.700374,188
2024-04-11 16:41:53.700374,189
2024-04-11 16:46:03.700374,176
2024-04-11 16:50:13.700374,219
2024-04-11 16:54:23.700374,185
2024-04-11 16:58:33.700374,195
2024-04-11 17:02:43.700374,185
2024-04-11 17:06:53.700374,164
2024-04-11 17:11:03.700374,179
2024-04-11 17:15:13.700374,178
2024-04-11 17:19:23.700374,174
2024-04-11 17:23:33.700374,198
2024-04-11 17:27:43.700374,190
2024-04-11 17:31:53.700374,191
2024-04-11 17:36:03.700374,200
2024-04-11 17:40:13.700374,183
2024-04-11 17:44:23.700374,173
2024-04-11 17:48:33.700374,206
2024-04-11 17:52:43.700374,190
2024-04-11 17:56:53.700374,193
2024-04-11 18:01:03.700374,186
2024-04-11 18:05:13.700374,174
2024-04-11 18:09:23.700374,197
2024-04-11 18:13:33.700374,203
2024-04-11 18:17:43.700374,203
2024-04-11 18:21:53.700374,243
2024-04-11 18:26:03.700374,210
2024-04-11 18:30:13.700374,201
2024-04-11 18:34:23.700374,213
2024-04-11 18:38:33.700374,198
2024-04-11 18:42:43.700374,189
2024-04-11 18:46:53.700374,186
2024-04-11 18:51:03.700374,201
2024-04-11 18:55:13.700374,162
2024-04-11 18:59:23.700374,186
2024-04-11 19:03:33.700374,178
2024-04-11 19:07:43.700374,162
2024-04-11 19:11:53.700374,200
2024-04-11 19:16:03.700374,187
2024-04-11 19:20:13.700374,185
2024-04-11 19:24:23.700374,190
2024-04-11 19:28:33.700374,191
2024-04-11 19:32:43.700374,161
2024-04-11 19:36:53.700374,191
2024-04-11 19:41:03.700374,174
2024-04-11 19:45:13.700374,204
2024-04-11 19:49:23.700374,163
2024-04-11 19:53:33.700374,178
2024-04-11 19:57:43.700374,178
2024-04-11 20:01:53.700374,181
2024-04-11 20:06:03.700374,174
2024-04-11 20:10:13.700374,161
2024-04-11 20:14:23.700374,189
2024-04-11 20:18:33.700374,176
2024-04-11 20:22:43.700374,178
2024-04-11 20:26:53.700374,189
2024-04-11 20:31:03.700374,170
2024-04-11 20:35:13.700374,187
2024-04-11 20:39:23.700374,180
2024-04-11 20:43:33.700374,180
2024-04-11 20:47:43.700374,175
